dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
8.93E-05,0.60282057,0.028255983,3.27E-09,22003.86062,3.70E-07,5.46E-10,3.04E-18,7.83E-07,75.0342695,29.76600814,0.709573906
8.41E-05,0.759283522,0.03437882,2.76E-09,14200.25127,1.70E-07,2.65E-09,1.30E-18,4.27E-07,66.06037465,26.05434564,0.602279323
6.53E-05,0.658776675,0.045790499,3.62E-09,31246.67438,3.59E-07,7.17E-10,2.00E-18,9.00E-07,54.94491419,21.25088981,0.432884223
5.33E-05,0.866417957,0.026020575,2.41E-09,37838.04993,3.18E-07,1.43E-09,3.06E-18,8.25E-07,46.58571311,16.97598735,0.346718252
5.07E-05,0.685805908,0.062964183,1.80E-09,43503.90516,2.30E-07,1.45E-09,2.11E-18,7.36E-07,44.3448693,15.34636582,0.293098705
2.20E-05,0.501504924,0.025195721,4.08E-09,9671.874166,8.24E-08,1.06E-09,3.08E-18,3.03E-07,29.10842778,5.994127647,0.160209164
2.59E-05,0.557580376,0.019568843,3.60E-09,45101.14465,1.42E-07,3.36E-10,3.76E-18,2.78E-07,32.02802229,8.01622052,0.218713636
4.58E-05,0.794576676,0.043830473,2.48E-09,10969.68101,1.29E-08,2.42E-09,2.23E-18,7.67E-07,39.93508525,12.99250266,0.255904291
2.65E-05,0.785159612,0.072765202,3.92E-09,9879.008101,2.34E-07,2.62E-09,1.44E-18,8.16E-07,22.75069734,1.046067702,0.048086186
2.54E-05,0.706930953,0.07239864,1.02E-09,25854.02021,1.02E-07,1.40E-09,3.27E-18,7.38E-07,31.07934157,6.15325633,0.219107257
2.84E-05,0.716828169,0.02042227,1.24E-09,38972.50616,3.91E-07,2.73E-09,2.76E-18,7.09E-07,33.32427266,8.128682827,0.225320337
1.98E-05,0.614284501,0.050897331,2.95E-09,40521.63883,3.69E-07,1.22E-09,1.20E-18,3.58E-07,25.30224287,2.033927186,0.068690197
8.14E-05,0.776396356,0.049100324,2.23E-09,22687.66896,2.29E-07,1.89E-09,3.51E-18,4.66E-07,54.94513606,21.24332975,0.523809349
3.62E-05,0.614574461,0.079843786,3.82E-09,48569.6032,3.67E-07,1.83E-09,2.28E-18,5.63E-07,30.11934938,6.686417575,0.144774497
4.09E-05,0.674516422,0.065922032,4.19E-09,7824.200929,2.39E-07,1.57E-09,3.95E-18,4.34E-07,33.44064478,9.019178406,0.186191382
4.17E-05,0.778154798,0.030199506,1.83E-09,32760.34856,3.49E-07,4.05E-10,2.01E-18,7.46E-07,41.62093642,13.75094172,0.264156256
5.25E-05,0.761616426,0.067611453,1.69E-09,47554.80943,2.70E-07,2.65E-09,2.03E-18,8.60E-07,41.5346963,13.71268749,0.27259376
1.40E-05,0.721044736,0.066704306,1.99E-09,6841.58629,5.73E-08,2.68E-09,3.24E-18,6.71E-07,21.59712607,0.076154008,0.005550394
2.05E-05,0.732458353,0.050235551,3.95E-09,18430.14893,1.25E-07,2.32E-09,2.08E-18,3.64E-07,21.64484495,0.063322867,0.033891565
4.75E-05,0.509049872,0.043879708,3.76E-09,41568.98726,3.14E-07,1.23E-09,3.75E-18,7.21E-07,48.52911213,18.05361652,0.314262703
1.62E-05,0.680623166,0.032409816,3.63E-09,24145.68263,3.82E-07,6.87E-10,1.06E-18,9.05E-07,24.21607104,1.204929062,0.051958323
9.11E-05,0.742379441,0.067197538,3.97E-09,42249.64682,2.71E-07,2.06E-09,1.71E-18,8.37E-07,51.40763284,19.36474031,0.554431037
2.61E-05,0.842071499,0.047085337,4.49E-09,47786.90334,3.92E-07,1.64E-09,3.77E-18,9.57E-07,22.79032034,1.163583115,0.060359894
3.33E-05,0.843452756,0.044441585,4.96E-09,11558.20984,6.72E-08,2.41E-09,1.44E-18,8.51E-07,28.25886465,5.350623596,0.130972085
9.29E-05,0.733652943,0.034861883,3.45E-09,30621.49719,2.96E-07,1.03E-09,3.63E-18,5.41E-07,68.15274234,27.15470291,0.677021439
7.64E-05,0.63679392,0.059578433,4.54E-09,6073.602494,3.52E-07,2.12E-09,1.37E-18,5.21E-07,50.68094282,19.1649421,0.46940759
2.11E-05,0.82555064,0.021239313,2.70E-09,26407.62335,1.90E-08,1.91E-09,2.33E-18,5.98E-07,23.76322812,0.827091211,0.081942375
2.35E-05,0.811043017,0.058030318,2.28E-09,35151.61623,1.86E-07,1.83E-09,3.10E-18,5.99E-07,22.72889284,0.60621505,0.032675498
8.97E-05,0.771982616,0.060227514,6.09E-10,48664.84296,1.79E-07,6.64E-10,2.48E-18,3.87E-07,81.36664574,31.10328777,1.25755947
2.16E-05,0.544087212,0.064695346,9.29E-10,8218.845723,1.86E-08,1.89E-09,3.98E-18,9.38E-07,35.34494934,9.199408916,0.607006688
5.66E-05,0.603561787,0.079086079,4.00E-09,33378.69605,1.14E-07,1.80E-09,2.43E-18,9.81E-07,39.13897496,12.60260501,0.291376902
